                                     | Core 0     | Core 1     | Core 2     | Core 3    
  Instructions                       |      97115 |      97842 |      97407 |      97081
  Cycles                             |    1013327 |    1013327 |    1013327 |    1013327
  IPC                                |       0.10 |       0.10 |       0.10 |       0.10
  Time (ns)                          |     380950 |     380950 |     380950 |     380950
  Idle time (ns)                     |     315179 |     314141 |     315085 |     316247
  Idle time (%)                      |      82.7% |      82.5% |      82.7% |      83.0%
Branch predictor stats               |            |            |            |           
  num correct                        |      10836 |      10781 |      10807 |      10818
  num incorrect                      |        422 |        503 |        464 |        423
  misprediction rate                 |      3.75% |      4.46% |      4.12% |      3.76%
  mpki                               |       4.35 |       5.14 |       4.76 |       4.36
TLB Summary                          |            |            |            |           
Cache Summary                        |            |            |            |           
  Cache L1-I                         |            |            |            |           
    num cache accesses               |      17510 |      17623 |      17547 |      17527
    num cache misses                 |         24 |         25 |         24 |         25
    miss rate                        |      0.14% |      0.14% |      0.14% |      0.14%
    mpki                             |       0.25 |       0.26 |       0.25 |       0.26
  Cache L1-D                         |            |            |            |           
    num cache accesses               |      51794 |      52142 |      51941 |      51809
    num cache misses                 |       1894 |       1867 |       1784 |       1812
    miss rate                        |      3.66% |      3.58% |      3.43% |      3.50%
    mpki                             |      19.50 |      19.08 |      18.31 |      18.66
  Cache L2                           |            |            |            |           
    num cache accesses               |       2509 |       2449 |       2384 |       2426
    num cache misses                 |       1920 |       1894 |       1815 |       1842
    miss rate                        |     76.52% |     77.34% |     76.13% |     75.93%
    mpki                             |      19.77 |      19.36 |      18.63 |      18.97
  Cache L3                           |            |            |            |           
    num cache accesses               |       2509 |       2449 |       2384 |       2426
    num cache misses                 |         19 |         13 |         12 |         27
    miss rate                        |      0.76% |      0.53% |      0.50% |      1.11%
    mpki                             |       0.20 |       0.13 |       0.12 |       0.28
DRAM summary                         |            |            |            |           
  num dram accesses                  |         57 |          0 |          0 |          0
  average dram access latency (ns)   |     157.13 |        inf |        inf |        inf
  average dram queueing delay        |     103.70 |       0.00 |       0.00 |       0.00
  average dram bandwidth utilization |      0.00% |      0.00% |      0.00% |      0.00%
Coherency Traffic                    |            |            |            |           
  num loads from dram                |          5 |          7 |          7 |         10
  num loads from dram cache          |          0 |          0 |          0 |          0
  num loads from remote cache        |          0 |          0 |          0 |          0
