                                     | Core 0     | Core 1     | Core 2     | Core 3    
  Instructions                       |      97807 |      98087 |      98420 |      98775
  Cycles                             |    1101779 |    1101779 |    1101779 |    1101779
  IPC                                |       0.09 |       0.09 |       0.09 |       0.09
  Time (ns)                          |     414203 |     414203 |     414203 |     414203
  Idle time (ns)                     |     337520 |     324039 |     321187 |     324308
  Idle time (%)                      |      81.5% |      78.2% |      77.5% |      78.3%
Branch predictor stats               |            |            |            |           
  num correct                        |      10852 |      10817 |      10826 |      10816
  num incorrect                      |        439 |        479 |        506 |        521
  misprediction rate                 |      3.89% |      4.24% |      4.47% |      4.60%
  mpki                               |       4.49 |       4.88 |       5.14 |       5.27
TLB Summary                          |            |            |            |           
Cache Summary                        |            |            |            |           
  Cache L1-I                         |            |            |            |           
    num cache accesses               |      17600 |      17648 |      17681 |      17740
    num cache misses                 |         24 |         25 |         25 |         25
    miss rate                        |      0.14% |      0.14% |      0.14% |      0.14%
    mpki                             |       0.25 |       0.25 |       0.25 |       0.25
  Cache L1-D                         |            |            |            |           
    num cache accesses               |      52110 |      52247 |      52376 |      52540
    num cache misses                 |       2481 |       2620 |       2703 |       2544
    miss rate                        |      4.76% |      5.01% |      5.16% |      4.84%
    mpki                             |      25.37 |      26.71 |      27.46 |      25.76
  Cache L2                           |            |            |            |           
    num cache accesses               |       3759 |       3888 |       4119 |       3855
    num cache misses                 |       2517 |       2678 |       2771 |       2603
    miss rate                        |     66.96% |     68.88% |     67.27% |     67.52%
    mpki                             |      25.73 |      27.30 |      28.15 |      26.35
  Cache L3                           |            |            |            |           
    num cache accesses               |       3759 |       3888 |       4119 |       3855
    num cache misses                 |       2517 |       2678 |       2771 |       2603
    miss rate                        |     66.96% |     68.88% |     67.27% |     67.52%
    mpki                             |      25.73 |      27.30 |      28.15 |      26.35
DRAM summary                         |            |            |            |           
  num dram accesses                  |       1064 |          0 |          0 |          0
  average dram access latency (ns)   |      80.69 |        inf |        inf |        inf
  average dram queueing delay        |      27.26 |       0.00 |       0.00 |       0.00
  average dram bandwidth utilization |      2.00% |      0.00% |      0.00% |      0.00%
Coherency Traffic                    |            |            |            |           
  num loads from dram                |        184 |        184 |        184 |        164
  num loads from dram cache          |          0 |          0 |          0 |          0
  num loads from remote cache        |       1294 |       1403 |       1443 |       1384
