                                     | Core 0     | Core 1     | Core 2     | Core 3    
  Instructions                       |      92355 |      73824 |      80062 |      90650
  Cycles                             |     488784 |     488784 |     488784 |     488784
  IPC                                |       0.19 |       0.15 |       0.16 |       0.19
  Time (ns)                          |     183754 |     183754 |     183754 |     183754
  Idle time (ns)                     |      98899 |     133972 |     119588 |     102962
  Idle time (%)                      |      53.8% |      72.9% |      65.1% |      56.0%
Branch predictor stats               |            |            |            |           
  num correct                        |       8135 |       5067 |       6098 |       7892
  num incorrect                      |         97 |         82 |         85 |         61
  misprediction rate                 |      1.18% |      1.59% |      1.37% |      0.77%
  mpki                               |       1.05 |       1.11 |       1.06 |       0.67
TLB Summary                          |            |            |            |           
Cache Summary                        |            |            |            |           
  Cache L1-I                         |            |            |            |           
    num cache accesses               |      22452 |      16291 |      18359 |      21900
    num cache misses                 |         14 |         16 |         17 |         16
    miss rate                        |      0.06% |      0.10% |      0.09% |      0.07%
    mpki                             |       0.15 |       0.22 |       0.21 |       0.18
  Cache L1-D                         |            |            |            |           
    num cache accesses               |      55707 |      46453 |      49554 |      54867
    num cache misses                 |       2775 |       1663 |       2198 |       2609
    miss rate                        |      4.98% |      3.58% |      4.44% |      4.76%
    mpki                             |      30.05 |      22.53 |      27.45 |      28.78
  Cache L2                           |            |            |            |           
    num cache accesses               |       2876 |       1772 |       2286 |       2761
    num cache misses                 |       2789 |       1679 |       2215 |       2625
    miss rate                        |     96.97% |     94.75% |     96.89% |     95.07%
    mpki                             |      30.20 |      22.74 |      27.67 |      28.96
  Cache L3                           |            |            |            |           
    num cache accesses               |       2876 |       1772 |       2286 |       2761
    num cache misses                 |         18 |          7 |          7 |         11
    miss rate                        |      0.63% |      0.40% |      0.31% |      0.40%
    mpki                             |       0.19 |       0.09 |       0.09 |       0.12
DRAM summary                         |            |            |            |           
  num dram accesses                  |         39 |          0 |          0 |          0
  average dram access latency (ns)   |     120.86 |        inf |        inf |        inf
  average dram queueing delay        |      67.43 |       0.00 |       0.00 |       0.00
  average dram bandwidth utilization |      0.00% |      0.00% |      0.00% |      0.00%
Coherency Traffic                    |            |            |            |           
  num loads from dram                |          4 |          4 |          4 |          5
  num loads from dram cache          |          0 |          0 |          0 |          0
  num loads from remote cache        |          0 |          0 |          0 |          0
