                                     | Core 0     | Core 1     | Core 2     | Core 3    
  Instructions                       |     218441 |     247349 |     211010 |     249246
  Cycles                             |     416448 |     416448 |     416448 |     416448
  IPC                                |       0.52 |       0.59 |       0.51 |       0.60
  Time (ns)                          |     156560 |     156560 |     156560 |     156560
  Idle time (ns)                     |     104553 |      98884 |     105247 |      99113
  Idle time (%)                      |      66.8% |      63.2% |      67.2% |      63.3%
Branch predictor stats               |            |            |            |           
  num correct                        |      41386 |      48586 |      39517 |      49114
  num incorrect                      |        464 |        488 |        482 |        446
  misprediction rate                 |      1.11% |      0.99% |      1.21% |      0.90%
  mpki                               |       2.12 |       1.97 |       2.28 |       1.79
TLB Summary                          |            |            |            |           
Cache Summary                        |            |            |            |           
  Cache L1-I                         |            |            |            |           
    num cache accesses               |      86654 |     101076 |      82952 |     102078
    num cache misses                 |         15 |         14 |         15 |         15
    miss rate                        |      0.02% |      0.01% |      0.02% |      0.01%
    mpki                             |       0.07 |       0.06 |       0.07 |       0.06
  Cache L1-D                         |            |            |            |           
    num cache accesses               |     118742 |     133199 |     115036 |     134156
    num cache misses                 |       4677 |       5350 |       4582 |       5304
    miss rate                        |      3.94% |      4.02% |      3.98% |      3.95%
    mpki                             |      21.41 |      21.63 |      21.71 |      21.28
  Cache L2                           |            |            |            |           
    num cache accesses               |       5761 |       6078 |       5504 |       6100
    num cache misses                 |         16 |          5 |         13 |          9
    miss rate                        |      0.28% |      0.08% |      0.24% |      0.15%
    mpki                             |       0.07 |       0.02 |       0.06 |       0.04
  Cache L3                           |            |            |            |           
    num cache accesses               |         17 |          8 |         16 |         13
    num cache misses                 |         16 |          5 |         13 |          9
    miss rate                        |     94.12% |     62.50% |     81.25% |     69.23%
    mpki                             |       0.07 |       0.02 |       0.06 |       0.04
DRAM summary                         |            |            |            |           
  num dram accesses                  |         37 |          0 |          0 |          0
  average dram access latency (ns)   |     119.27 |        inf |        inf |        inf
  average dram queueing delay        |      65.84 |       0.00 |       0.00 |       0.00
  average dram bandwidth utilization |      0.00% |      0.00% |      0.00% |      0.00%
Coherency Traffic                    |            |            |            |           
  num loads from dram                |          3 |          3 |          4 |          5
  num loads from dram cache          |          0 |          0 |          0 |          0
  num loads from remote cache        |          0 |          0 |          0 |          0
