                                     | Core 0     | Core 1     | Core 2     | Core 3    
  Instructions                       |     110004 |      96755 |     101450 |      94775
  Cycles                             |     496491 |     496491 |     496491 |     496491
  IPC                                |       0.22 |       0.19 |       0.20 |       0.19
  Time (ns)                          |     186651 |     186651 |     186651 |     186651
  Idle time (ns)                     |     110456 |     106776 |      98850 |     104039
  Idle time (%)                      |      59.2% |      57.2% |      53.0% |      55.7%
Branch predictor stats               |            |            |            |           
  num correct                        |      14606 |      11350 |      12526 |      10843
  num incorrect                      |        142 |         97 |         90 |        111
  misprediction rate                 |      0.96% |      0.85% |      0.71% |      1.01%
  mpki                               |       1.29 |       1.00 |       0.89 |       1.17
TLB Summary                          |            |            |            |           
Cache Summary                        |            |            |            |           
  Cache L1-I                         |            |            |            |           
    num cache accesses               |      32468 |      25878 |      28220 |      24894
    num cache misses                 |         15 |         15 |         15 |         15
    miss rate                        |      0.05% |      0.06% |      0.05% |      0.06%
    mpki                             |       0.14 |       0.16 |       0.15 |       0.16
  Cache L1-D                         |            |            |            |           
    num cache accesses               |      64529 |      57917 |      60263 |      56927
    num cache misses                 |       1963 |       1691 |       1695 |       1608
    miss rate                        |      3.04% |      2.92% |      2.81% |      2.82%
    mpki                             |      17.84 |      17.48 |      16.71 |      16.97
  Cache L2                           |            |            |            |           
    num cache accesses               |       2482 |       2258 |       2045 |       2129
    num cache misses                 |       1978 |       1707 |       1710 |       1623
    miss rate                        |     79.69% |     75.60% |     83.62% |     76.23%
    mpki                             |      17.98 |      17.64 |      16.86 |      17.12
  Cache L3                           |            |            |            |           
    num cache accesses               |       2482 |       2258 |       2045 |       2129
    num cache misses                 |       1978 |       1707 |       1710 |       1623
    miss rate                        |     79.69% |     75.60% |     83.62% |     76.23%
    mpki                             |      17.98 |      17.64 |      16.86 |      17.12
DRAM summary                         |            |            |            |           
  num dram accesses                  |       2010 |          0 |          0 |          0
  average dram access latency (ns)   |      64.70 |        inf |        inf |        inf
  average dram queueing delay        |      11.27 |       0.00 |       0.00 |       0.00
  average dram bandwidth utilization |      9.00% |      0.00% |      0.00% |      0.00%
Coherency Traffic                    |            |            |            |           
  num loads from dram                |        281 |        429 |        554 |        491
  num loads from dram cache          |          0 |          0 |          0 |          0
  num loads from remote cache        |       1108 |        719 |        772 |        642
