                                     | Core 0     | Core 1    
  Instructions                       |    1398645 |    1394443
  Cycles                             |   11125895 |   11125895
  IPC                                |       0.13 |       0.13
  Time (ns)                          |    4182667 |    4182667
  Idle time (ns)                     |    2828032 |    2836862
  Idle time (%)                      |      67.6% |      67.8%
Branch predictor stats               |            |           
  num correct                        |     110254 |     110840
  num incorrect                      |        291 |        298
  misprediction rate                 |      0.26% |      0.27%
  mpki                               |       0.21 |       0.21
TLB Summary                          |            |           
Cache Summary                        |            |           
  Cache L1-I                         |            |           
    num cache accesses               |      19399 |      18204
    num cache misses                 |         24 |         24
    miss rate                        |      0.12% |      0.13%
    mpki                             |       0.02 |       0.02
  Cache L1-D                         |            |           
    num cache accesses               |     949622 |     946636
    num cache misses                 |       1573 |       1432
    miss rate                        |      0.17% |      0.15%
    mpki                             |       1.12 |       1.03
  Cache L2                           |            |           
    num cache accesses               |       1726 |       1730
    num cache misses                 |         20 |         28
    miss rate                        |      1.16% |      1.62%
    mpki                             |       0.01 |       0.02
  Cache L3                           |            |           
    num cache accesses               |         21 |         32
    num cache misses                 |         20 |         28
    miss rate                        |     95.24% |     87.50%
    mpki                             |       0.01 |       0.02
DRAM summary                         |            |           
  num dram accesses                  |         45 |          0
  average dram access latency (ns)   |     110.07 |        inf
  average dram queueing delay        |      56.64 |       0.00
  average dram bandwidth utilization |      0.00% |      0.00%
Coherency Traffic                    |            |           
  num loads from dram                |          3 |         10
  num loads from dram cache          |          0 |          0
  num loads from remote cache        |          0 |          0
