                                     | Core 0     | Core 1     | Core 2     | Core 3    
  Instructions                       |    1402344 |    1404785 |    1405821 |    1403063
  Cycles                             |   25256082 |   25256082 |   25256082 |   25256082
  IPC                                |       0.06 |       0.06 |       0.06 |       0.06
  Time (ns)                          |    9494768 |    9494768 |    9494768 |    9494768
  Idle time (ns)                     |    8130263 |    8128077 |    8127878 |    8130599
  Idle time (%)                      |      85.6% |      85.6% |      85.6% |      85.6%
Branch predictor stats               |            |            |            |           
  num correct                        |     110405 |     110662 |     110803 |     110502
  num incorrect                      |        597 |        676 |        668 |        591
  misprediction rate                 |      0.54% |      0.61% |      0.60% |      0.53%
  mpki                               |       0.43 |       0.48 |       0.48 |       0.42
TLB Summary                          |            |            |            |           
Cache Summary                        |            |            |            |           
  Cache L1-I                         |            |            |            |           
    num cache accesses               |      19612 |      19656 |      19712 |      19653
    num cache misses                 |         24 |         24 |         24 |         24
    miss rate                        |      0.12% |      0.12% |      0.12% |      0.12%
    mpki                             |       0.02 |       0.02 |       0.02 |       0.02
  Cache L1-D                         |            |            |            |           
    num cache accesses               |     950820 |     951550 |     951878 |     951056
    num cache misses                 |       1979 |       2350 |       2463 |       2122
    miss rate                        |      0.21% |      0.25% |      0.26% |      0.22%
    mpki                             |       1.41 |       1.67 |       1.75 |       1.51
  Cache L2                           |            |            |            |           
    num cache accesses               |       2340 |       2716 |       2862 |       2461
    num cache misses                 |         31 |         10 |         13 |         16
    miss rate                        |      1.32% |      0.37% |      0.45% |      0.65%
    mpki                             |       0.02 |       0.01 |       0.01 |       0.01
  Cache L3                           |            |            |            |           
    num cache accesses               |         33 |         13 |         16 |         19
    num cache misses                 |         31 |         10 |         13 |         16
    miss rate                        |     93.94% |     76.92% |     81.25% |     84.21%
    mpki                             |       0.02 |       0.01 |       0.01 |       0.01
DRAM summary                         |            |            |            |           
  num dram accesses                  |         57 |          0 |          0 |          0
  average dram access latency (ns)   |     113.53 |        inf |        inf |        inf
  average dram queueing delay        |      60.10 |       0.00 |       0.00 |       0.00
  average dram bandwidth utilization |      0.00% |      0.00% |      0.00% |      0.00%
Coherency Traffic                    |            |            |            |           
  num loads from dram                |          6 |          4 |          5 |          6
  num loads from dram cache          |          0 |          0 |          0 |          0
  num loads from remote cache        |          0 |          0 |          0 |          0
