                                     | Core 0     | Core 1     | Core 2     | Core 3     | Core 4     | Core 5     | Core 6     | Core 7    
  Instructions                       |      98944 |      99453 |      98764 |      99809 |      99682 |      99569 |      99911 |      99674
  Cycles                             |    1529775 |    1529775 |    1529775 |    1529775 |    1529775 |    1529775 |    1529775 |    1529775
  IPC                                |       0.06 |       0.07 |       0.06 |       0.07 |       0.07 |       0.07 |       0.07 |       0.07
  Time (ns)                          |     575104 |     575104 |     575104 |     575104 |     575104 |     575104 |     575104 |     575104
  Idle time (ns)                     |     522231 |     518861 |     524247 |     518791 |     518519 |     517531 |     522081 |     520507
  Idle time (%)                      |      90.8% |      90.2% |      91.2% |      90.2% |      90.2% |      90.0% |      90.8% |      90.5%
Branch predictor stats               |            |            |            |            |            |            |            |           
  num correct                        |      10813 |      10838 |      10865 |      10851 |      10824 |      10804 |      10877 |      10848
  num incorrect                      |        537 |        566 |        496 |        586 |        573 |        604 |        587 |        567
  misprediction rate                 |      4.73% |      4.96% |      4.37% |      5.12% |      5.03% |      5.29% |      5.12% |      4.97%
  mpki                               |       5.43 |       5.69 |       5.02 |       5.87 |       5.75 |       6.07 |       5.88 |       5.69
TLB Summary                          |            |            |            |            |            |            |            |           
Cache Summary                        |            |            |            |            |            |            |            |           
  Cache L1-I                         |            |            |            |            |            |            |            |           
    num cache accesses               |      17749 |      17803 |      17727 |      17842 |      17854 |      17814 |      17835 |      17825
    num cache misses                 |         24 |         25 |         24 |         24 |         24 |         25 |         23 |         24
    miss rate                        |      0.14% |      0.14% |      0.14% |      0.13% |      0.13% |      0.14% |      0.13% |      0.13%
    mpki                             |       0.24 |       0.25 |       0.24 |       0.24 |       0.24 |       0.25 |       0.23 |       0.24
  Cache L1-D                         |            |            |            |            |            |            |            |           
    num cache accesses               |      52587 |      52776 |      52491 |      52917 |      52908 |      52829 |      52948 |      52877
    num cache misses                 |       2030 |       2176 |       1999 |       2255 |       2254 |       2278 |       2127 |       2242
    miss rate                        |      3.86% |      4.12% |      3.81% |      4.26% |      4.26% |      4.31% |      4.02% |      4.24%
    mpki                             |      20.52 |      21.88 |      20.24 |      22.59 |      22.61 |      22.88 |      21.29 |      22.49
  Cache L2                           |            |            |            |            |            |            |            |           
    num cache accesses               |       2549 |       2850 |       2530 |       2896 |       2827 |       2968 |       2705 |       2898
    num cache misses                 |       1009 |       1074 |        976 |       1045 |       1058 |       1081 |        911 |        997
    miss rate                        |     39.58% |     37.68% |     38.58% |     36.08% |     37.42% |     36.42% |     33.68% |     34.40%
    mpki                             |      10.20 |      10.80 |       9.88 |      10.47 |      10.61 |      10.86 |       9.12 |      10.00
  Cache L3                           |            |            |            |            |            |            |            |           
    num cache accesses               |       1327 |       1489 |       1300 |       1425 |       1434 |       1504 |       1252 |       1343
    num cache misses                 |         27 |         15 |         11 |         13 |         11 |         12 |          9 |         18
    miss rate                        |      2.03% |      1.01% |      0.85% |      0.91% |      0.77% |      0.80% |      0.72% |      1.34%
    mpki                             |       0.27 |       0.15 |       0.11 |       0.13 |       0.11 |       0.12 |       0.09 |       0.18
DRAM summary                         |            |            |            |            |            |            |            |           
  num dram accesses                  |         82 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  average dram access latency (ns)   |     200.65 |        inf |        inf |        inf |        inf |        inf |        inf |        inf
  average dram queueing delay        |     147.22 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  average dram bandwidth utilization |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
Coherency Traffic                    |            |            |            |            |            |            |            |           
  num loads from dram                |          4 |          7 |          6 |          6 |          7 |          5 |          6 |          8
  num loads from dram cache          |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  num loads from remote cache        |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
