                                     | Core 0     | Core 1     | Core 2     | Core 3     | Core 4     | Core 5     | Core 6     | Core 7     | Core 8     | Core 9     | Core 10    | Core 11    | Core 12    | Core 13    | Core 14    | Core 15   
  Instructions                       |     236200 |     236252 |     235576 |     234886 |     235180 |     235607 |     234028 |     235349 |     235287 |     236558 |     235185 |     235752 |     236291 |     235036 |     235807 |     235667
  Cycles                             |    9482311 |    9482311 |    9482311 |    9482311 |    9482311 |    9482311 |    9482311 |    9482311 |    9482311 |    9482311 |    9482311 |    9482311 |    9482311 |    9482311 |    9482311 |    9482311
  IPC                                |       0.02 |       0.02 |       0.02 |       0.02 |       0.02 |       0.02 |       0.02 |       0.02 |       0.02 |       0.02 |       0.02 |       0.02 |       0.02 |       0.02 |       0.02 |       0.02
  Time (ns)                          |    3564779 |    3564779 |    3564779 |    3564779 |    3564779 |    3564779 |    3564779 |    3564779 |    3564779 |    3564779 |    3564779 |    3564779 |    3564779 |    3564779 |    3564779 |    3564779
  Idle time (ns)                     |    3332988 |    3334790 |    3337037 |    3334259 |    3337861 |    3336158 |    3340795 |    3334046 |    3340542 |    3332421 |    3335154 |    3335471 |    3335860 |    3339289 |    3338488 |    3339715
  Idle time (%)                      |      93.5% |      93.5% |      93.6% |      93.5% |      93.6% |      93.6% |      93.7% |      93.5% |      93.7% |      93.5% |      93.6% |      93.6% |      93.6% |      93.7% |      93.7% |      93.7%
Branch predictor stats               |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  num correct                        |      20463 |      20408 |      20361 |      20321 |      20340 |      20389 |      20262 |      20309 |      20304 |      20332 |      20306 |      20359 |      20381 |      20355 |      20454 |      20338
  num incorrect                      |       1242 |       1311 |       1291 |       1231 |       1256 |       1290 |       1279 |       1273 |       1251 |       1361 |       1277 |       1282 |       1330 |       1294 |       1219 |       1326
  misprediction rate                 |      5.72% |      6.04% |      5.96% |      5.71% |      5.82% |      5.95% |      5.94% |      5.90% |      5.80% |      6.27% |      5.92% |      5.92% |      6.13% |      5.98% |      5.62% |      6.12%
  mpki                               |       5.26 |       5.55 |       5.48 |       5.24 |       5.34 |       5.48 |       5.47 |       5.41 |       5.32 |       5.75 |       5.43 |       5.44 |       5.63 |       5.51 |       5.17 |       5.63
TLB Summary                          |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
Cache Summary                        |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  Cache L1-I                         |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |      20025 |      20029 |      19934 |      19972 |      19922 |      19925 |      19772 |      19990 |      20008 |      20112 |      19937 |      20009 |      20029 |      19861 |      19990 |      19961
    num cache misses                 |         24 |         25 |         24 |         25 |         25 |         25 |         25 |         25 |         25 |         25 |         24 |         25 |         25 |         25 |         25 |         24
    miss rate                        |      0.12% |      0.12% |      0.12% |      0.13% |      0.13% |      0.13% |      0.13% |      0.13% |      0.12% |      0.12% |      0.12% |      0.12% |      0.12% |      0.13% |      0.13% |      0.12%
    mpki                             |       0.10 |       0.11 |       0.10 |       0.11 |       0.11 |       0.11 |       0.11 |       0.11 |       0.11 |       0.11 |       0.10 |       0.11 |       0.11 |       0.11 |       0.11 |       0.10
  Cache L1-D                         |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |     141884 |     141893 |     141631 |     141448 |     141505 |     141596 |     140986 |     141611 |     141633 |     142078 |     141522 |     141737 |     141934 |     141365 |     141728 |     141655
    num cache misses                 |       6364 |       6407 |       6314 |       6261 |       6140 |       6230 |       5895 |       6319 |       6251 |       6365 |       6152 |       6313 |       6258 |       5952 |       6130 |       6005
    miss rate                        |      4.49% |      4.52% |      4.46% |      4.43% |      4.34% |      4.40% |      4.18% |      4.46% |      4.41% |      4.48% |      4.35% |      4.45% |      4.41% |      4.21% |      4.33% |      4.24%
    mpki                             |      26.94 |      27.12 |      26.80 |      26.66 |      26.11 |      26.44 |      25.19 |      26.85 |      26.57 |      26.91 |      26.16 |      26.78 |      26.48 |      25.32 |      26.00 |      25.48
  Cache L2                           |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |       8111 |       8077 |       8064 |       7963 |       7815 |       7926 |       7484 |       8012 |       8052 |       8121 |       7789 |       8105 |       7970 |       7641 |       7829 |       7679
    num cache misses                 |       6410 |       6458 |       6383 |       6330 |       6213 |       6300 |       5982 |       6411 |       6290 |       6428 |       6221 |       6401 |       6351 |       6051 |       6226 |       6094
    miss rate                        |     79.03% |     79.96% |     79.15% |     79.49% |     79.50% |     79.49% |     79.93% |     80.02% |     78.12% |     79.15% |     79.87% |     78.98% |     79.69% |     79.19% |     79.52% |     79.36%
    mpki                             |      27.14 |      27.34 |      27.10 |      26.95 |      26.42 |      26.74 |      25.56 |      27.24 |      26.73 |      27.17 |      26.45 |      27.15 |      26.88 |      25.74 |      26.40 |      25.86
  Cache L3                           |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |       8111 |       8077 |       8064 |       7963 |       7815 |       7926 |       7484 |       8012 |       8052 |       8121 |       7789 |       8105 |       7970 |       7641 |       7829 |       7679
    num cache misses                 |       3690 |       3797 |       3855 |       3670 |       3623 |       3614 |       3512 |       3803 |       3530 |       3780 |       3603 |       3776 |       3680 |       3490 |       3561 |       3535
    miss rate                        |     45.49% |     47.01% |     47.81% |     46.09% |     46.36% |     45.60% |     46.93% |     47.47% |     43.84% |     46.55% |     46.26% |     46.59% |     46.17% |     45.67% |     45.48% |     46.03%
    mpki                             |      15.62 |      16.07 |      16.36 |      15.62 |      15.41 |      15.34 |      15.01 |      16.16 |      15.00 |      15.98 |      15.32 |      16.02 |      15.57 |      14.85 |      15.10 |      15.00
DRAM summary                         |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  num dram accesses                  |        130 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  average dram access latency (ns)   |     257.98 |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf
  average dram queueing delay        |     204.55 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  average dram bandwidth utilization |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
Coherency Traffic                    |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  num loads from dram                |          5 |          4 |          5 |          5 |          4 |          4 |          5 |          5 |          4 |          4 |          5 |          4 |          4 |          7 |          5 |          4
  num loads from dram cache          |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  num loads from remote cache        |       2334 |       2376 |       2403 |       2338 |       2311 |       2245 |       2231 |       2425 |       2280 |       2365 |       2337 |       2435 |       2320 |       2188 |       2230 |       2234
