                                     | Core 0     | Core 1    
  Instructions                       |      89911 |      80030
  Cycles                             |     329799 |     329799
  IPC                                |       0.27 |       0.24
  Time (ns)                          |     123985 |     123985
  Idle time (ns)                     |      97134 |     102550
  Idle time (%)                      |      78.3% |      82.7%
Branch predictor stats               |            |           
  num correct                        |       7706 |       6060
  num incorrect                      |        119 |        117
  misprediction rate                 |      1.52% |      1.89%
  mpki                               |       1.32 |       1.46
TLB Summary                          |            |           
Cache Summary                        |            |           
  Cache L1-I                         |            |           
    num cache accesses               |      21638 |      18343
    num cache misses                 |         14 |         17
    miss rate                        |      0.06% |      0.09%
    mpki                             |       0.16 |       0.21
  Cache L1-D                         |            |           
    num cache accesses               |      54486 |      49542
    num cache misses                 |       1458 |       1475
    miss rate                        |      2.68% |      2.98%
    mpki                             |      16.22 |      18.43
  Cache L2                           |            |           
    num cache accesses               |       1568 |       1572
    num cache misses                 |         20 |         13
    miss rate                        |      1.28% |      0.83%
    mpki                             |       0.22 |       0.16
  Cache L3                           |            |           
    num cache accesses               |         22 |         16
    num cache misses                 |         20 |         13
    miss rate                        |     90.91% |     81.25%
    mpki                             |       0.22 |       0.16
DRAM summary                         |            |           
  num dram accesses                  |         31 |          0
  average dram access latency (ns)   |     155.67 |        inf
  average dram queueing delay        |     102.24 |       0.00
  average dram bandwidth utilization |      0.00% |      0.00%
Coherency Traffic                    |            |           
  num loads from dram                |          5 |          4
  num loads from dram cache          |          0 |          0
  num loads from remote cache        |          0 |          0
