                                     | Core 0     | Core 1     | Core 2     | Core 3    
  Instructions                       |     504687 |     603594 |     508810 |     605877
  Cycles                             |    1252276 |    1252276 |    1252276 |    1252276
  IPC                                |       0.40 |       0.48 |       0.41 |       0.48
  Time (ns)                          |     470781 |     470781 |     470781 |     470781
  Idle time (ns)                     |     152013 |      99406 |     154204 |     100368
  Idle time (%)                      |      32.3% |      21.1% |      32.8% |      21.3%
Branch predictor stats               |            |            |            |           
  num correct                        |      66102 |      82573 |      66854 |      82959
  num incorrect                      |        353 |        369 |        290 |        365
  misprediction rate                 |      0.53% |      0.44% |      0.43% |      0.44%
  mpki                               |       0.70 |       0.61 |       0.57 |       0.60
TLB Summary                          |            |            |            |           
Cache Summary                        |            |            |            |           
  Cache L1-I                         |            |            |            |           
    num cache accesses               |     138900 |     171877 |     140283 |     172642
    num cache misses                 |         16 |         16 |         17 |         17
    miss rate                        |      0.01% |      0.01% |      0.01% |      0.01%
    mpki                             |       0.03 |       0.03 |       0.03 |       0.03
  Cache L1-D                         |            |            |            |           
    num cache accesses               |     284375 |     333839 |     286447 |     334979
    num cache misses                 |      55241 |      60408 |      53089 |      59858
    miss rate                        |     19.43% |     18.09% |     18.53% |     17.87%
    mpki                             |     109.46 |     100.08 |     104.34 |      98.80
  Cache L2                           |            |            |            |           
    num cache accesses               |      55389 |      60532 |      53234 |      60033
    num cache misses                 |         14 |          9 |         19 |          5
    miss rate                        |      0.03% |      0.01% |      0.04% |      0.01%
    mpki                             |       0.03 |       0.01 |       0.04 |       0.01
  Cache L3                           |            |            |            |           
    num cache accesses               |         16 |         12 |         22 |          8
    num cache misses                 |         14 |          9 |         19 |          5
    miss rate                        |     87.50% |     75.00% |     86.36% |     62.50%
    mpki                             |       0.03 |       0.01 |       0.04 |       0.01
DRAM summary                         |            |            |            |           
  num dram accesses                  |         39 |          0 |          0 |          0
  average dram access latency (ns)   |     116.08 |        inf |        inf |        inf
  average dram queueing delay        |      62.65 |       0.00 |       0.00 |       0.00
  average dram bandwidth utilization |      0.00% |      0.00% |      0.00% |      0.00%
Coherency Traffic                    |            |            |            |           
  num loads from dram                |          4 |          3 |          5 |          3
  num loads from dram cache          |          0 |          0 |          0 |          0
  num loads from remote cache        |          0 |          0 |          0 |          0
