                                     | Core 0     | Core 1     | Core 2     | Core 3     | Core 4     | Core 5     | Core 6     | Core 7    
  Instructions                       |    4630035 |    4507043 |    4250969 |    4408961 |    4678475 |    5147361 |    4443545 |    3863399
  Cycles                             |   29491254 |   29491254 |   29491254 |   29491254 |   29491254 |   29491254 |   29491254 |   29491254
  IPC                                |       0.16 |       0.15 |       0.14 |       0.15 |       0.16 |       0.17 |       0.15 |       0.13
  Time (ns)                          |   11086938 |   11086938 |   11086938 |   11086938 |   11086938 |   11086938 |   11086938 |   11086938
  Idle time (ns)                     |     252747 |     960951 |    1748384 |    1808646 |     382444 |     100611 |    1290022 |    3346871
  Idle time (%)                      |       2.3% |       8.7% |      15.8% |      16.3% |       3.4% |       0.9% |      11.6% |      30.2%
Branch predictor stats               |            |            |            |            |            |            |            |           
  num correct                        |     648743 |     628265 |     585604 |     611905 |     656841 |     734994 |     617698 |     521027
  num incorrect                      |        270 |        254 |        236 |        267 |        250 |        244 |        238 |        218
  misprediction rate                 |      0.04% |      0.04% |      0.04% |      0.04% |      0.04% |      0.03% |      0.04% |      0.04%
  mpki                               |       0.06 |       0.06 |       0.06 |       0.06 |       0.05 |       0.05 |       0.05 |       0.06
TLB Summary                          |            |            |            |            |            |            |            |           
Cache Summary                        |            |            |            |            |            |            |            |           
  Cache L1-I                         |            |            |            |            |            |            |            |           
    num cache accesses               |    1304016 |    1263031 |    1177673 |    1230337 |    1320175 |    1476467 |    1241865 |    1048483
    num cache misses                 |         16 |         17 |         17 |         17 |         17 |         16 |         17 |         17
    miss rate                        |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
    mpki                             |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  Cache L1-D                         |            |            |            |            |            |            |            |           
    num cache accesses               |    2572049 |    2510562 |    2382525 |    2461521 |    2596278 |    2830720 |    2478813 |    2188740
    num cache misses                 |     526952 |     441310 |     420559 |     430965 |     464249 |     483879 |     442232 |     352737
    miss rate                        |     20.49% |     17.58% |     17.65% |     17.51% |     17.88% |     17.09% |     17.84% |     16.12%
    mpki                             |     113.81 |      97.92 |      98.93 |      97.75 |      99.23 |      94.01 |      99.52 |      91.30
  Cache L2                           |            |            |            |            |            |            |            |           
    num cache accesses               |     526976 |     441345 |     420587 |     430990 |     464330 |     483951 |     442304 |     352818
    num cache misses                 |     306580 |     235488 |     213985 |     212478 |     271697 |     277179 |     242068 |     177381
    miss rate                        |     58.18% |     53.36% |     50.88% |     49.30% |     58.51% |     57.27% |     54.73% |     50.28%
    mpki                             |      66.22 |      52.25 |      50.34 |      48.19 |      58.07 |      53.85 |      54.48 |      45.91
  Cache L3                           |            |            |            |            |            |            |            |           
    num cache accesses               |     306581 |     235491 |     213988 |     212481 |     271754 |     277227 |     242118 |     177440
    num cache misses                 |         19 |          8 |         13 |          9 |         14 |         10 |          9 |          7
    miss rate                        |      0.01% |      0.00% |      0.01% |      0.00% |      0.01% |      0.00% |      0.00% |      0.00%
    mpki                             |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
DRAM summary                         |            |            |            |            |            |            |            |           
  num dram accesses                  |         56 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  average dram access latency (ns)   |     148.81 |        inf |        inf |        inf |        inf |        inf |        inf |        inf
  average dram queueing delay        |      95.38 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  average dram bandwidth utilization |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
Coherency Traffic                    |            |            |            |            |            |            |            |           
  num loads from dram                |          4 |          4 |          5 |          6 |          5 |          3 |          5 |          3
  num loads from dram cache          |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  num loads from remote cache        |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
