                                     | Core 0     | Core 1     | Core 2     | Core 3     | Core 4     | Core 5     | Core 6     | Core 7     | Core 8     | Core 9     | Core 10    | Core 11    | Core 12    | Core 13    | Core 14    | Core 15   
  Instructions                       |     124350 |      94523 |     122740 |     127748 |     111544 |     114789 |     121574 |     125937 |     131790 |     128247 |     113479 |     119180 |     118514 |     116288 |      86002 |     121586
  Cycles                             |    1190120 |    1190120 |    1190120 |    1190120 |    1190120 |    1190120 |    1190120 |    1190120 |    1190120 |    1190120 |    1190120 |    1190120 |    1190120 |    1190120 |    1190120 |    1190120
  IPC                                |       0.10 |       0.08 |       0.10 |       0.11 |       0.09 |       0.10 |       0.10 |       0.11 |       0.11 |       0.11 |       0.10 |       0.10 |       0.10 |       0.10 |       0.07 |       0.10
  Time (ns)                          |     447414 |     447414 |     447414 |     447414 |     447414 |     447414 |     447414 |     447414 |     447414 |     447414 |     447414 |     447414 |     447414 |     447414 |     447414 |     447414
  Idle time (ns)                     |      22975 |     209248 |      25270 |       6391 |      88928 |      70211 |      29563 |      15429 |       3060 |       3391 |      80940 |      42232 |      52886 |      65540 |     280242 |      47586
  Idle time (%)                      |       5.1% |      46.8% |       5.6% |       1.4% |      19.9% |      15.7% |       6.6% |       3.4% |       0.7% |       0.8% |      18.1% |       9.4% |      11.8% |      14.6% |      62.6% |      10.6%
Branch predictor stats               |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  num correct                        |      13400 |       8488 |      13156 |      13947 |      11254 |      11805 |      12923 |      13658 |      14561 |      14024 |      11543 |      12523 |      12415 |      12114 |       7118 |      12967
  num incorrect                      |        165 |        105 |        142 |        186 |        169 |        168 |        181 |        173 |        245 |        192 |        212 |        185 |        179 |        109 |         54 |        139
  misprediction rate                 |      1.22% |      1.22% |      1.07% |      1.32% |      1.48% |      1.40% |      1.38% |      1.25% |      1.65% |      1.35% |      1.80% |      1.46% |      1.42% |      0.89% |      0.75% |      1.06%
  mpki                               |       1.33 |       1.11 |       1.16 |       1.46 |       1.52 |       1.46 |       1.49 |       1.37 |       1.86 |       1.50 |       1.87 |       1.55 |       1.51 |       0.94 |       0.63 |       1.14
TLB Summary                          |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
Cache Summary                        |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  Cache L1-I                         |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |      33120 |      23180 |      32590 |      34260 |      28841 |      29940 |      32202 |      33656 |      35605 |      34426 |      29506 |      31410 |      31182 |      30441 |      20338 |      32206
    num cache misses                 |         16 |         17 |         17 |         17 |         17 |         17 |         17 |         17 |         16 |         17 |         17 |         17 |         17 |         17 |         16 |         17
    miss rate                        |      0.05% |      0.07% |      0.05% |      0.05% |      0.06% |      0.06% |      0.05% |      0.05% |      0.04% |      0.05% |      0.06% |      0.05% |      0.05% |      0.06% |      0.08% |      0.05%
    mpki                             |       0.13 |       0.18 |       0.14 |       0.13 |       0.15 |       0.15 |       0.14 |       0.13 |       0.12 |       0.13 |       0.15 |       0.14 |       0.14 |       0.15 |       0.19 |       0.14
  Cache L1-D                         |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |      71705 |      56788 |      70905 |      73408 |      65285 |      66928 |      70321 |      72502 |      75433 |      73657 |      66277 |      69131 |      68791 |      67683 |      52523 |      70327
    num cache misses                 |      13805 |       6857 |      11346 |      12146 |       9889 |      10570 |      11582 |      11720 |      13940 |      11426 |       9854 |      10858 |      10865 |      10333 |       5259 |      11012
