                                     | Core 0     | Core 1     | Core 2     | Core 3    
  Instructions                       |    1355131 |    1401000 |    1289825 |    1432344
  Cycles                             |    1038677 |    1038677 |    1038677 |    1038677
  IPC                                |       1.30 |       1.35 |       1.24 |       1.38
  Time (ns)                          |     390480 |     390480 |     390480 |     390480
  Idle time (ns)                     |     112826 |     103269 |     119423 |      99371
  Idle time (%)                      |      28.9% |      26.4% |      30.6% |      25.4%
Branch predictor stats               |            |            |            |           
  num correct                        |     247061 |     256191 |     233953 |     262486
  num incorrect                      |        371 |        421 |        424 |        394
  misprediction rate                 |      0.15% |      0.16% |      0.18% |      0.15%
  mpki                               |       0.27 |       0.30 |       0.33 |       0.28
TLB Summary                          |            |            |            |           
Cache Summary                        |            |            |            |           
  Cache L1-I                         |            |            |            |           
    num cache accesses               |     500854 |     519217 |     474747 |     531751
    num cache misses                 |         16 |         17 |         17 |         15
    miss rate                        |      0.00% |      0.00% |      0.00% |      0.00%
    mpki                             |       0.01 |       0.01 |       0.01 |       0.01
  Cache L1-D                         |            |            |            |           
    num cache accesses               |     827306 |     854841 |     788136 |     873647
    num cache misses                 |     243673 |     242994 |     221058 |     236817
    miss rate                        |     29.45% |     28.43% |     28.05% |     27.11%
    mpki                             |     179.82 |     173.44 |     171.39 |     165.34
  Cache L2                           |            |            |            |           
    num cache accesses               |     243958 |     243208 |     221339 |     237070
    num cache misses                 |         18 |         16 |          7 |          5
    miss rate                        |      0.01% |      0.01% |      0.00% |      0.00%
    mpki                             |       0.01 |       0.01 |       0.01 |       0.00
  Cache L3                           |            |            |            |           
    num cache accesses               |         19 |         20 |         10 |          8
    num cache misses                 |         18 |         16 |          7 |          5
    miss rate                        |     94.74% |     80.00% |     70.00% |     62.50%
    mpki                             |       0.01 |       0.01 |       0.01 |       0.00
DRAM summary                         |            |            |            |           
  num dram accesses                  |         39 |          0 |          0 |          0
  average dram access latency (ns)   |     116.07 |        inf |        inf |        inf
  average dram queueing delay        |      62.64 |       0.00 |       0.00 |       0.00
  average dram bandwidth utilization |      0.00% |      0.00% |      0.00% |      0.00%
Coherency Traffic                    |            |            |            |           
  num loads from dram                |          3 |          6 |          3 |          3
  num loads from dram cache          |          0 |          0 |          0 |          0
  num loads from remote cache        |          0 |          0 |          0 |          0
