                                     | Core 0     | Core 1     | Core 2     | Core 3     | Core 4     | Core 5     | Core 6     | Core 7    
  Instructions                       |     451066 |     512106 |     375920 |     513821 |     502248 |     399821 |     476299 |     460384
  Cycles                             |    2843355 |    2843355 |    2843355 |    2843355 |    2843355 |    2843355 |    2843355 |    2843355
  IPC                                |       0.16 |       0.18 |       0.13 |       0.18 |       0.18 |       0.14 |       0.17 |       0.16
  Time (ns)                          |    1068931 |    1068931 |    1068931 |    1068931 |    1068931 |    1068931 |    1068931 |    1068931
  Idle time (ns)                     |     161766 |     110293 |     382713 |     134138 |     100646 |     325339 |     163263 |     242344
  Idle time (%)                      |      15.1% |      10.3% |      35.8% |      12.5% |       9.4% |      30.4% |      15.3% |      22.7%
Branch predictor stats               |            |            |            |            |            |            |            |           
  num correct                        |      66370 |      78575 |      51390 |      78887 |      76647 |      56143 |      71455 |      68268
  num incorrect                      |        249 |        255 |        201 |        289 |        210 |        233 |        216 |        220
  misprediction rate                 |      0.37% |      0.32% |      0.39% |      0.37% |      0.27% |      0.41% |      0.30% |      0.32%
  mpki                               |       0.55 |       0.50 |       0.53 |       0.56 |       0.42 |       0.58 |       0.45 |       0.48
TLB Summary                          |            |            |            |            |            |            |            |           
Cache Summary                        |            |            |            |            |            |            |            |           
  Cache L1-I                         |            |            |            |            |            |            |            |           
    num cache accesses               |     139228 |     163654 |     109176 |     164346 |     159705 |     118746 |     149336 |     142970
    num cache misses                 |         16 |         17 |         17 |         16 |         16 |         16 |         17 |         17
    miss rate                        |      0.01% |      0.01% |      0.02% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01%
    mpki                             |       0.04 |       0.03 |       0.05 |       0.03 |       0.03 |       0.04 |       0.04 |       0.04
  Cache L1-D                         |            |            |            |            |            |            |            |           
    num cache accesses               |     284867 |     321503 |     239782 |     322535 |     315583 |     254135 |     300020 |     290471
    num cache misses                 |      44009 |      41871 |      29822 |      42704 |      41093 |      32917 |      41429 |      38330
    miss rate                        |     15.45% |     13.02% |     12.44% |     13.24% |     13.02% |     12.95% |     13.81% |     13.20%
    mpki                             |      97.57 |      81.76 |      79.33 |      83.11 |      81.82 |      82.33 |      86.98 |      83.26
  Cache L2                           |            |            |            |            |            |            |            |           
    num cache accesses               |      44113 |      42001 |      29979 |      42817 |      41203 |      33031 |      41546 |      38446
    num cache misses                 |      25688 |      24091 |      16758 |      23264 |      25429 |      19226 |      23876 |      21297
    miss rate                        |     58.23% |     57.36% |     55.90% |     54.33% |     61.72% |     58.21% |     57.47% |     55.39%
    mpki                             |      56.95 |      47.04 |      44.58 |      45.28 |      50.63 |      48.09 |      50.13 |      46.26
  Cache L3                           |            |            |            |            |            |            |            |           
    num cache accesses               |      25742 |      24165 |      16847 |      23316 |      25495 |      19272 |      23937 |      21366
    num cache misses                 |         16 |          7 |         11 |         11 |         13 |          7 |          9 |          7
    miss rate                        |      0.06% |      0.03% |      0.07% |      0.05% |      0.05% |      0.04% |      0.04% |      0.03%
    mpki                             |       0.04 |       0.01 |       0.03 |       0.02 |       0.03 |       0.02 |       0.02 |       0.02
DRAM summary                         |            |            |            |            |            |            |            |           
  num dram accesses                  |         56 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  average dram access latency (ns)   |     148.56 |        inf |        inf |        inf |        inf |        inf |        inf |        inf
  average dram queueing delay        |      95.13 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  average dram bandwidth utilization |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
Coherency Traffic                    |            |            |            |            |            |            |            |           
  num loads from dram                |          3 |          3 |          5 |          4 |          7 |          4 |          5 |          4
  num loads from dram cache          |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  num loads from remote cache        |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
