                                     | Core 0     | Core 1     | Core 2     | Core 3     | Core 4     | Core 5     | Core 6     | Core 7     | Core 8     | Core 9     | Core 10    | Core 11    | Core 12    | Core 13    | Core 14    | Core 15   
  Instructions                       |     147097 |     123348 |     144690 |     140785 |     151557 |     121971 |     128629 |     151149 |     138818 |     147636 |     120715 |     145867 |     120248 |     145730 |     133411 |     132349
  Cycles                             |    1690954 |    1690954 |    1690954 |    1690954 |    1690954 |    1690954 |    1690954 |    1690954 |    1690954 |    1690954 |    1690954 |    1690954 |    1690954 |    1690954 |    1690954 |    1690954
  IPC                                |       0.09 |       0.07 |       0.09 |       0.08 |       0.09 |       0.07 |       0.08 |       0.09 |       0.08 |       0.09 |       0.07 |       0.09 |       0.07 |       0.09 |       0.08 |       0.08
  Time (ns)                          |     635697 |     635697 |     635697 |     635697 |     635697 |     635697 |     635697 |     635697 |     635697 |     635697 |     635697 |     635697 |     635697 |     635697 |     635697 |     635697
  Idle time (ns)                     |      28136 |     157564 |      14951 |      26928 |       3036 |     165741 |     131452 |       5621 |      60741 |      16300 |     185557 |      18658 |     181774 |      29086 |      95759 |      88185
  Idle time (%)                      |       4.4% |      24.8% |       2.4% |       4.2% |       0.5% |      26.1% |      20.7% |       0.9% |       9.6% |       2.6% |      29.2% |       2.9% |      28.6% |       4.6% |      15.1% |      13.9%
Branch predictor stats               |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  num correct                        |      20128 |      15401 |      19651 |      18866 |      21043 |      15108 |      16434 |      20931 |      18473 |      20255 |      14824 |      19899 |      14771 |      19819 |      17354 |      17196
  num incorrect                      |         97 |         83 |         94 |         98 |         76 |         91 |         99 |        106 |         99 |         77 |        133 |         83 |         93 |        141 |        136 |         82
  misprediction rate                 |      0.48% |      0.54% |      0.48% |      0.52% |      0.36% |      0.60% |      0.60% |      0.50% |      0.53% |      0.38% |      0.89% |      0.42% |      0.63% |      0.71% |      0.78% |      0.47%
  mpki                               |       0.66 |       0.67 |       0.65 |       0.70 |       0.50 |       0.75 |       0.77 |       0.70 |       0.71 |       0.52 |       1.10 |       0.57 |       0.77 |       0.97 |       1.02 |       0.62
TLB Summary                          |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
Cache Summary                        |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  Cache L1-I                         |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |      46440 |      36964 |      45484 |      43922 |      48231 |      36392 |      39060 |      48068 |      43139 |      46659 |      35909 |      45959 |      35724 |      45915 |      40975 |      40551
    num cache misses                 |         16 |         16 |         17 |         17 |         16 |         17 |         17 |         17 |         17 |         17 |         16 |         17 |         16 |         16 |         17 |         17
    miss rate                        |      0.03% |      0.04% |      0.04% |      0.04% |      0.03% |      0.05% |      0.04% |      0.04% |      0.04% |      0.04% |      0.04% |      0.04% |      0.04% |      0.03% |      0.04% |      0.04%
    mpki                             |       0.11 |       0.13 |       0.12 |       0.12 |       0.11 |       0.14 |       0.13 |       0.11 |       0.12 |       0.12 |       0.13 |       0.12 |       0.13 |       0.11 |       0.13 |       0.13
  Cache L1-D                         |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |      91685 |      77455 |      90244 |      87901 |      94373 |      76603 |      80608 |      94120 |      86731 |      92012 |      75873 |      90961 |      75595 |      90882 |      83484 |      82849
    num cache misses                 |      18946 |      12388 |      15401 |      15330 |      16011 |      12371 |      13496 |      16519 |      18070 |      15555 |      11671 |      15652 |      11618 |      15562 |      14115 |      13960
    miss rate                        |     20.66% |     15.99% |     17.07% |     17.44% |     16.97% |     16.15% |     16.74% |     17.55% |     20.83% |     16.91% |     15.38% |     17.21% |     15.37% |     17.12% |     16.91% |     16.85%
    mpki                             |     128.80 |     100.43 |     106.44 |     108.89 |     105.64 |     101.43 |     104.92 |     109.29 |     130.17 |     105.36 |      96.68 |     107.30 |      96.62 |     106.79 |     105.80 |     105.48
  Cache L2                           |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |      18982 |      12431 |      15454 |      15383 |      16055 |      12423 |      13540 |      16573 |      18118 |      15603 |      11737 |      15699 |      11660 |      15633 |      14170 |      14007
    num cache misses                 |      18962 |      12404 |      15418 |      15347 |      16027 |      12388 |      13513 |      16537 |      18087 |      15572 |      11687 |      15669 |      11634 |      15578 |      14132 |      13977
    miss rate                        |     99.89% |     99.78% |     99.77% |     99.77% |     99.83% |     99.72% |     99.80% |     99.78% |     99.83% |     99.80% |     99.57% |     99.81% |     99.78% |     99.65% |     99.73% |     99.79%
    mpki                             |     128.91 |     100.56 |     106.56 |     109.01 |     105.75 |     101.57 |     105.05 |     109.41 |     130.29 |     105.48 |      96.81 |     107.42 |      96.75 |     106.90 |     105.93 |     105.61
  Cache L3                           |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |      18982 |      12431 |      15454 |      15383 |      16055 |      12423 |      13540 |      16573 |      18118 |      15603 |      11737 |      15699 |      11660 |      15633 |      14170 |      14007
    num cache misses                 |       6733 |       7011 |       8305 |       8259 |       8515 |       6783 |       7409 |       8720 |       7104 |       9087 |       6543 |       9149 |       6614 |       9003 |       7916 |       8022
    miss rate                        |     35.47% |     56.40% |     53.74% |     53.69% |     53.04% |     54.60% |     54.72% |     52.62% |     39.21% |     58.24% |     55.75% |     58.28% |     56.72% |     57.59% |     55.86% |     57.27%
    mpki                             |      45.77 |      56.84 |      57.40 |      58.66 |      56.18 |      55.61 |      57.60 |      57.69 |      51.17 |      61.55 |      54.20 |      62.72 |      55.00 |      61.78 |      59.34 |      60.61
DRAM summary                         |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  num dram accesses                  |         88 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  average dram access latency (ns)   |     231.64 |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf
  average dram queueing delay        |     178.21 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  average dram bandwidth utilization |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
Coherency Traffic                    |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  num loads from dram                |          3 |          3 |          5 |          4 |          4 |          3 |          4 |          4 |          3 |          3 |          3 |          3 |          3 |          4 |          3 |          3
  num loads from dram cache          |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  num loads from remote cache        |       3186 |       4096 |       5003 |       4898 |       5092 |       4058 |       4258 |       5396 |       3276 |       4485 |       3532 |       4652 |       3738 |       4784 |       4557 |       4744
