                                     | Core 0    
  Instructions                       |     189045
  Cycles                             |     484879
  IPC                                |       0.39
  Time (ns)                          |     182285
  Idle time (ns)                     |      96079
  Idle time (%)                      |      52.7%
Branch predictor stats               |           
  num correct                        |      14004
  num incorrect                      |         10
  misprediction rate                 |      0.07%
  mpki                               |       0.05
TLB Summary                          |           
Cache Summary                        |           
  Cache L1-I                         |           
    num cache accesses               |      31016
    num cache misses                 |         14
    miss rate                        |      0.05%
    mpki                             |       0.07
  Cache L1-D                         |           
    num cache accesses               |     126053
    num cache misses                 |         10
    miss rate                        |      0.01%
    mpki                             |       0.05
  Cache L2                           |           
    num cache accesses               |         26
    num cache misses                 |         24
    miss rate                        |     92.31%
    mpki                             |       0.13
  Cache L3                           |           
    num cache accesses               |         26
    num cache misses                 |         24
    miss rate                        |     92.31%
    mpki                             |       0.13
DRAM summary                         |           
  num dram accesses                  |         24
  average dram access latency (ns)   |     120.45
  average dram queueing delay        |      67.02
  average dram bandwidth utilization |      0.00%
Coherency Traffic                    |           
  num loads from dram                |          6
  num loads from dram cache          |          0
  num loads from remote cache        |          0
