                                     | Core 0     | Core 1    
  Instructions                       |    7608029 |    7134460
  Cycles                             |    6904234 |    6904234
  IPC                                |       1.10 |       1.03
  Time (ns)                          |    2595577 |    2595577
  Idle time (ns)                     |      97772 |     187718
  Idle time (%)                      |       3.8% |       7.2%
Branch predictor stats               |            |           
  num correct                        |    1665804 |    1547416
  num incorrect                      |        446 |        449
  misprediction rate                 |      0.03% |      0.03%
  mpki                               |       0.06 |       0.06
TLB Summary                          |            |           
Cache Summary                        |            |           
  Cache L1-I                         |            |           
    num cache accesses               |    3335468 |    3098708
    num cache misses                 |         14 |         16
    miss rate                        |      0.00% |      0.00%
    mpki                             |       0.00 |       0.00
  Cache L1-D                         |            |           
    num cache accesses               |    4060535 |    3823764
    num cache misses                 |       2559 |       2605
    miss rate                        |      0.06% |      0.07%
    mpki                             |       0.34 |       0.37
  Cache L2                           |            |           
    num cache accesses               |       3519 |       3521
    num cache misses                 |         22 |          9
    miss rate                        |      0.63% |      0.26%
    mpki                             |       0.00 |       0.00
  Cache L3                           |            |           
    num cache accesses               |         24 |         12
    num cache misses                 |         22 |          9
    miss rate                        |     91.67% |     75.00%
    mpki                             |       0.00 |       0.00
DRAM summary                         |            |           
  num dram accesses                  |         30 |          0
  average dram access latency (ns)   |      93.24 |        inf
  average dram queueing delay        |      39.81 |       0.00
  average dram bandwidth utilization |      0.00% |      0.00%
Coherency Traffic                    |            |           
  num loads from dram                |          5 |          4
  num loads from dram cache          |          0 |          0
  num loads from remote cache        |          0 |          0
