                                     | Core 0     | Core 1     | Core 2     | Core 3     | Core 4     | Core 5     | Core 6     | Core 7    
  Instructions                       |    3016397 |    2849371 |    2900627 |    2946811 |    2926391 |    3247604 |    3368113 |    3445293
  Cycles                             |    2443319 |    2443319 |    2443319 |    2443319 |    2443319 |    2443319 |    2443319 |    2443319
  IPC                                |       1.23 |       1.17 |       1.19 |       1.21 |       1.20 |       1.33 |       1.38 |       1.41
  Time (ns)                          |     918541 |     918541 |     918541 |     918541 |     918541 |     918541 |     918541 |     918541
  Idle time (ns)                     |     100646 |     212090 |     222352 |     203192 |     175085 |     121420 |     111850 |     103196
  Idle time (%)                      |      11.0% |      23.1% |      24.2% |      22.1% |      19.1% |      13.2% |      12.2% |      11.2%
Branch predictor stats               |            |            |            |            |            |            |            |           
  num correct                        |     719819 |     678149 |     690973 |     702646 |     697432 |     777739 |     807820 |     827008
  num incorrect                      |        985 |        919 |        901 |        796 |        887 |        888 |        923 |       1030
  misprediction rate                 |      0.14% |      0.14% |      0.13% |      0.11% |      0.13% |      0.11% |      0.11% |      0.12%
  mpki                               |       0.33 |       0.32 |       0.31 |       0.27 |       0.30 |       0.27 |       0.27 |       0.30
TLB Summary                          |            |            |            |            |            |            |            |           
Cache Summary                        |            |            |            |            |            |            |            |           
  Cache L1-I                         |            |            |            |            |            |            |            |           
    num cache accesses               |    1444500 |    1361054 |    1386650 |    1409830 |    1399548 |    1560174 |    1620384 |    1658980
    num cache misses                 |         14 |         16 |         16 |         16 |         16 |         16 |         16 |         16
    miss rate                        |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
    mpki                             |       0.00 |       0.01 |       0.01 |       0.01 |       0.01 |       0.00 |       0.00 |       0.00
  Cache L1-D                         |            |            |            |            |            |            |            |           
    num cache accesses               |    1539681 |    1456189 |    1481809 |    1504923 |    1494695 |    1655306 |    1715550 |    1754145
    num cache misses                 |      11708 |      10997 |      10976 |      11197 |       8559 |       9691 |       9839 |       9575
    miss rate                        |      0.76% |      0.76% |      0.74% |      0.74% |      0.57% |      0.59% |      0.57% |      0.55%
    mpki                             |       3.88 |       3.86 |       3.78 |       3.80 |       2.92 |       2.98 |       2.92 |       2.78
  Cache L2                           |            |            |            |            |            |            |            |           
    num cache accesses               |      13038 |      11850 |      11768 |      12068 |       9799 |      10852 |      10911 |      10677
    num cache misses                 |       4655 |       1537 |        692 |        808 |       2092 |       1807 |       1389 |       1001
    miss rate                        |     35.70% |     12.97% |      5.88% |      6.70% |     21.35% |     16.65% |     12.73% |      9.38%
    mpki                             |       1.54 |       0.54 |       0.24 |       0.27 |       0.71 |       0.56 |       0.41 |       0.29
  Cache L3                           |            |            |            |            |            |            |            |           
    num cache accesses               |       5702 |       1967 |        957 |       1270 |       3199 |       2707 |       2113 |       1878
    num cache misses                 |         18 |          4 |          6 |          9 |         13 |          6 |          6 |          7
    miss rate                        |      0.32% |      0.20% |      0.63% |      0.71% |      0.41% |      0.22% |      0.28% |      0.37%
    mpki                             |       0.01 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
DRAM summary                         |            |            |            |            |            |            |            |           
  num dram accesses                  |         55 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  average dram access latency (ns)   |     145.34 |        inf |        inf |        inf |        inf |        inf |        inf |        inf
  average dram queueing delay        |      91.91 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  average dram bandwidth utilization |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
Coherency Traffic                    |            |            |            |            |            |            |            |           
  num loads from dram                |          6 |          4 |          5 |          4 |          7 |          4 |          3 |          5
  num loads from dram cache          |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  num loads from remote cache        |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
