                                     | Core 0     | Core 1     | Core 2     | Core 3     | Core 4     | Core 5     | Core 6     | Core 7     | Core 8     | Core 9     | Core 10    | Core 11    | Core 12    | Core 13    | Core 14    | Core 15   
  Instructions                       |   85331885 |   82362635 |   88205592 |   88543472 |   86109228 |   87990883 |   87193389 |   87333165 |   88650637 |   88146876 |   84018268 |   78323496 |   82038552 |   84551637 |   88126256 |   81215497
  Cycles                             |   49400492 |   49400492 |   49400492 |   49400492 |   49400492 |   49400492 |   49400492 |   49400492 |   49400492 |   49400492 |   49400492 |   49400492 |   49400492 |   49400492 |   49400492 |   49400492
  IPC                                |       1.73 |       1.67 |       1.79 |       1.79 |       1.74 |       1.78 |       1.77 |       1.77 |       1.79 |       1.78 |       1.70 |       1.59 |       1.66 |       1.71 |       1.78 |       1.64
  Time (ns)                          |   18571614 |   18571614 |   18571614 |   18571614 |   18571614 |   18571614 |   18571614 |   18571614 |   18571614 |   18571614 |   18571614 |   18571614 |   18571614 |   18571614 |   18571614 |   18571614
  Idle time (ns)                     |     664685 |    1271178 |      97992 |      25184 |     531565 |     151848 |     311987 |     282962 |       2936 |     128465 |     938699 |    2076038 |    1339312 |     853857 |     139054 |    1503130
  Idle time (%)                      |       3.6% |       6.8% |       0.5% |       0.1% |       2.9% |       0.8% |       1.7% |       1.5% |       0.0% |       0.7% |       5.1% |      11.2% |       7.2% |       4.6% |       0.7% |       8.1%
Branch predictor stats               |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  num correct                        |   21095997 |   20353688 |   21814305 |   21898884 |   21290275 |   21760663 |   21561403 |   21596254 |   21925649 |   21799634 |   20767568 |   19343792 |   20272695 |   20900923 |   21794584 |   20066903
  num incorrect                      |       1196 |       1173 |       1299 |       1193 |       1240 |       1271 |       1161 |       1238 |       1222 |       1271 |       1197 |       1284 |       1156 |       1196 |       1184 |       1174
  misprediction rate                 |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01%
  mpki                               |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.02 |       0.01 |       0.01 |       0.01 |       0.01
TLB Summary                          |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
Cache Summary                        |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  Cache L1-I                         |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |   42197312 |   40712616 |   43634098 |   43803050 |   42585924 |   43526758 |   43128042 |   43197866 |   43856644 |   43604660 |   41540404 |   38693034 |   40550606 |   41807136 |   43594422 |   40139038
    num cache misses                 |         16 |         16 |         16 |         16 |         16 |         15 |         16 |         16 |         16 |         16 |         16 |         16 |         16 |         16 |         16 |         16
    miss rate                        |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
    mpki                             |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  Cache L1-D                         |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |   42922442 |   41437799 |   44359281 |   44528224 |   43311101 |   44251931 |   43853194 |   43923066 |   44581809 |   44329903 |   42265611 |   39418229 |   41275768 |   42532313 |   44319611 |   40864236
    num cache misses                 |      25971 |      24943 |      26851 |      26926 |      26053 |      26628 |      26306 |      26254 |      26843 |      26541 |      25378 |      23596 |      24651 |      25326 |      26369 |      24212
    miss rate                        |      0.06% |      0.06% |      0.06% |      0.06% |      0.06% |      0.06% |      0.06% |      0.06% |      0.06% |      0.06% |      0.06% |      0.06% |      0.06% |      0.06% |      0.06% |      0.06%
    mpki                             |       0.30 |       0.30 |       0.30 |       0.30 |       0.30 |       0.30 |       0.30 |       0.30 |       0.30 |       0.30 |       0.30 |       0.30 |       0.30 |       0.30 |       0.30 |       0.30
  Cache L2                           |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |      27228 |      25989 |      27897 |      27971 |      27109 |      27690 |      27364 |      27332 |      28040 |      27582 |      26408 |      24665 |      25673 |      26398 |      27415 |      25301
    num cache misses                 |      25988 |      24959 |      26867 |      26942 |      26069 |      26643 |      26323 |      26270 |      26859 |      26558 |      25394 |      23612 |      24667 |      25342 |      26385 |      24229
