                                     | Core 0     | Core 1     | Core 2     | Core 3     | Core 4     | Core 5     | Core 6     | Core 7    
  Instructions                       |     506190 |     590401 |     602365 |     681964 |     476918 |     492653 |     468215 |     675476
  Cycles                             |     811509 |     811509 |     811509 |     811509 |     811509 |     811509 |     811509 |     811509
  IPC                                |       0.62 |       0.73 |       0.74 |       0.84 |       0.59 |       0.61 |       0.58 |       0.83
  Time (ns)                          |     305079 |     305079 |     305079 |     305079 |     305079 |     305079 |     305079 |     305079
  Idle time (ns)                     |     102227 |     104026 |     115034 |     104214 |     124794 |     130461 |     154453 |      99621
  Idle time (%)                      |      33.5% |      34.1% |      37.7% |      34.2% |      40.9% |      42.8% |      50.6% |      32.7%
Branch predictor stats               |            |            |            |            |            |            |            |           
  num correct                        |     113361 |     134268 |     137353 |     157198 |     105954 |     109824 |     103866 |     155626
  num incorrect                      |        427 |        555 |        465 |        518 |        507 |        565 |        421 |        476
  misprediction rate                 |      0.38% |      0.41% |      0.34% |      0.33% |      0.48% |      0.51% |      0.40% |      0.30%
  mpki                               |       0.84 |       0.94 |       0.77 |       0.76 |       1.06 |       1.15 |       0.90 |       0.70
TLB Summary                          |            |            |            |            |            |            |            |           
Cache Summary                        |            |            |            |            |            |            |            |           
  Cache L1-I                         |            |            |            |            |            |            |            |           
    num cache accesses               |     230532 |     272571 |     278576 |     318368 |     215866 |     223711 |     211532 |     315157
    num cache misses                 |         15 |         16 |         17 |         17 |         15 |         16 |         17 |         16
    miss rate                        |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01%
    mpki                             |       0.03 |       0.03 |       0.03 |       0.02 |       0.03 |       0.03 |       0.04 |       0.02
  Cache L1-D                         |            |            |            |            |            |            |            |           
    num cache accesses               |     262617 |     304705 |     310689 |     350487 |     247960 |     255833 |     243618 |     347249
    num cache misses                 |       8624 |       8985 |       8735 |       9445 |       8189 |       8234 |       7165 |       9342
    miss rate                        |      3.28% |      2.95% |      2.81% |      2.69% |      3.30% |      3.22% |      2.94% |      2.69%
    mpki                             |      17.04 |      15.22 |      14.50 |      13.85 |      17.17 |      16.71 |      15.30 |      13.83
  Cache L2                           |            |            |            |            |            |            |            |           
    num cache accesses               |       9989 |       9876 |       9634 |      10291 |       9238 |       9234 |       8162 |      10136
    num cache misses                 |       2765 |       1947 |       1553 |       1229 |       2273 |       1963 |       1452 |       1820
    miss rate                        |     27.68% |     19.71% |     16.12% |     11.94% |     24.60% |     21.26% |     17.79% |     17.96%
    mpki                             |       5.46 |       3.30 |       2.58 |       1.80 |       4.77 |       3.98 |       3.10 |       2.69
  Cache L3                           |            |            |            |            |            |            |            |           
    num cache accesses               |       3909 |       2526 |       2262 |       1778 |       3128 |       2733 |       2296 |       2318
    num cache misses                 |          6 |         15 |          7 |         15 |          5 |         12 |         10 |         12
    miss rate                        |      0.15% |      0.59% |      0.31% |      0.84% |      0.16% |      0.44% |      0.44% |      0.52%
    mpki                             |       0.01 |       0.03 |       0.01 |       0.02 |       0.01 |       0.02 |       0.02 |       0.02
DRAM summary                         |            |            |            |            |            |            |            |           
  num dram accesses                  |         56 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  average dram access latency (ns)   |     182.33 |        inf |        inf |        inf |        inf |        inf |        inf |        inf
  average dram queueing delay        |     128.90 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  average dram bandwidth utilization |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
Coherency Traffic                    |            |            |            |            |            |            |            |           
  num loads from dram                |          2 |          6 |          5 |          7 |          3 |          4 |          5 |          4
  num loads from dram cache          |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  num loads from remote cache        |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
