                                     | Core 0     | Core 1     | Core 2     | Core 3     | Core 4     | Core 5     | Core 6     | Core 7     | Core 8     | Core 9     | Core 10    | Core 11    | Core 12    | Core 13    | Core 14    | Core 15   
  Instructions                       |   85923795 |   88622188 |   88194652 |   89042212 |   76567137 |   85022837 |   82229929 |   83935499 |   86364768 |   82450993 |   85357492 |   88506721 |   88522180 |   88978993 |   83609675 |   79743759
  Cycles                             |   49589352 |   49589352 |   49589352 |   49589352 |   49589352 |   49589352 |   49589352 |   49589352 |   49589352 |   49589352 |   49589352 |   49589352 |   49589352 |   49589352 |   49589352 |   49589352
  IPC                                |       1.73 |       1.79 |       1.78 |       1.80 |       1.54 |       1.71 |       1.66 |       1.69 |       1.74 |       1.66 |       1.72 |       1.78 |       1.79 |       1.79 |       1.69 |       1.61
  Time (ns)                          |   18642614 |   18642614 |   18642614 |   18642614 |   18642614 |   18642614 |   18642614 |   18642614 |   18642614 |   18642614 |   18642614 |   18642614 |   18642614 |   18642614 |   18642614 |   18642614
  Idle time (ns)                     |     623849 |      86098 |     181576 |       2910 |    2496408 |     828814 |    1369685 |    1034559 |     526401 |    1327702 |     750852 |     122115 |     102353 |      33082 |    1099478 |    1864804
  Idle time (%)                      |       3.3% |       0.5% |       1.0% |       0.0% |      13.4% |       4.4% |       7.3% |       5.5% |       2.8% |       7.1% |       4.0% |       0.7% |       0.5% |       0.2% |       5.9% |      10.0%
Branch predictor stats               |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  num correct                        |   21244224 |   21918801 |   21811966 |   22023788 |   18905073 |   21018990 |   20320776 |   20747168 |   21354472 |   20376074 |   21102616 |   21889920 |   21893819 |   22008032 |   20665770 |   19699268
  num incorrect                      |       1191 |       1225 |       1167 |       1213 |       1185 |       1190 |       1189 |       1181 |       1190 |       1142 |       1224 |       1228 |       1196 |       1184 |       1121 |       1138
  misprediction rate                 |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01%
  mpki                               |       0.01 |       0.01 |       0.01 |       0.01 |       0.02 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01
TLB Summary                          |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
Cache Summary                        |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  Cache L1-I                         |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |   42493720 |   43842958 |   43629166 |   44052880 |   37815426 |   42043262 |   40646853 |   41499603 |   42714224 |   40757326 |   42210572 |   43785190 |   43792930 |   44021326 |   41336688 |   39403702
    num cache misses                 |         15 |         15 |         16 |         16 |         16 |         16 |         16 |         16 |         16 |         16 |         16 |         16 |         16 |         16 |         16 |         16
    miss rate                        |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
    mpki                             |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  Cache L1-D                         |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
